scale,err,#patients,#tissues,patient_id,tissue_name
15.598941,15.622402,299,20,GTEX-XPVG,Cells_Transformed_fibroblasts
11.909936,2.616365,121,15,GTEX-ZAB5,Small_Intestine_Terminal_Ileum
4.755987,2.148241,82,24,GTEX-13VXU,Brain_Spinal_cord_cervical_c-1
8.623925,4.246519,212,17,GTEX-WXYG,Esophagus_Gastroesophageal_Junction
24.241302,9.425235,334,15,GTEX-16MT8,Skin_Not_Sun_Exposed_Suprapubic
32.985248,16.355587,382,10,GTEX-W5X1,Lung
6.844175,2.169495,100,36,GTEX-12WSD,Uterus
27.305725,14.831338,387,10,GTEX-OXRN,Artery_Tibial
8.490631,1.842364,110,19,GTEX-ZE7O,Brain_Hippocampus
27.237642,26.490018,202,23,GTEX-1B8KE,Colon_Sigmoid
51.611897,92.966742,490,10,GTEX-14PQA,Muscle_Skeletal
4.399523,4.756643,174,29,GTEX-WY7C,Adrenal_Gland
12.659505,8.827414,360,19,GTEX-13PL7,Nerve_Tibial
6.787790,10.866625,131,12,GTEX-WK11,Prostate
8.599421,11.385058,398,37,GTEX-15ER7,Thyroid
21.433434,19.572041,334,12,GTEX-13QJ3,Esophagus_Muscularis
7.760646,3.628762,131,10,GTEX-15CHR,Prostate
1.793581,2.962074,153,26,GTEX-14BIN,Brain_Cerebellum
18.081588,10.856498,368,19,GTEX-11GS4,Whole_Blood
10.442839,5.533166,312,14,GTEX-1AMEY,Adipose_Visceral_Omentum
7.812814,5.003955,135,17,GTEX-11EI6,Brain_Cortex
8.911544,5.481374,202,13,GTEX-XAJ8,Colon_Sigmoid
13.528638,8.765612,271,22,GTEX-12ZZY,Heart_Left_Ventricle
24.745727,18.712136,245,18,GTEX-148VJ,Colon_Transverse
11.299009,5.996241,153,32,GTEX-13OW6,Brain_Cerebellum
5.847046,6.365248,79,19,GTEX-14PJO,Brain_Substantia_nigra
12.310387,5.147766,107,19,GTEX-14JIY,Brain_Hypothalamus
20.065763,15.054662,382,24,GTEX-ZDXO,Lung
8.722628,16.571908,334,21,GTEX-1A3MV,Esophagus_Muscularis
7.985796,2.365662,129,11,GTEX-ZV68,Brain_Nucleus_accumbens_basal_ganglia
13.447908,12.612074,124,24,GTEX-13FHO,Brain_Cerebellar_Hemisphere
40.542095,32.787651,384,11,GTEX-17F9Y,Adipose_Subcutaneous
29.511366,16.886345,357,8,GTEX-OIZG,Esophagus_Mucosa
17.869299,5.678008,245,22,GTEX-ZPU1,Colon_Transverse
47.309266,17.844450,334,10,GTEX-1A3MW,Skin_Not_Sun_Exposed_Suprapubic
25.840751,30.787297,357,24,GTEX-WYJK,Esophagus_Mucosa
7.601119,7.589530,117,18,GTEX-13S7M,Brain_Frontal_Cortex_BA9
2.846206,2.407292,124,29,GTEX-ZUA1,Brain_Cerebellar_Hemisphere
19.191985,17.885691,299,15,GTEX-12ZZW,Cells_Transformed_fibroblasts
21.096238,7.985519,271,16,GTEX-RTLS,Heart_Left_Ventricle
14.192216,15.015600,368,13,GTEX-14C38,Whole_Blood
18.909105,11.158303,334,34,GTEX-ZAB4,Esophagus_Muscularis
8.488983,11.551043,116,15,GTEX-ZTSS,Cells_EBV-transformed_lymphocytes
30.779544,27.627353,490,13,GTEX-QVUS,Muscle_Skeletal
8.190288,5.459487,121,11,GTEX-145MI,Ovary
68.484889,43.000377,382,24,GTEX-TSE9,Lung
24.753905,18.092979,382,13,GTEX-WFJO,Lung
18.879065,12.373565,413,10,GTEX-111VG,Skin_Sun_Exposed_Lower_leg
13.178791,19.988937,245,8,GTEX-15G1A,Colon_Transverse
23.110865,20.205720,490,9,GTEX-14PJ5,Muscle_Skeletal
22.376783,10.296783,413,17,GTEX-ZTX8,Skin_Sun_Exposed_Lower_leg
5.609981,3.092935,110,24,GTEX-13X6J,Brain_Putamen_basal_ganglia
15.342318,17.832840,236,15,GTEX-13OVK,Stomach
8.938995,9.489430,360,17,GTEX-12C56,Nerve_Tibial
9.052300,16.725835,357,13,GTEX-P4PQ,Esophagus_Mucosa
10.625712,9.803126,413,16,GTEX-15DCD,Skin_Sun_Exposed_Lower_leg
28.290323,13.658899,360,15,GTEX-11DYG,Nerve_Tibial
30.868918,29.467178,236,21,GTEX-1A3MV,Stomach
12.502165,5.062760,110,16,GTEX-1B933,Brain_Putamen_basal_ganglia
12.447805,12.234092,250,17,GTEX-11WQC,Breast_Mammary_Tissue
37.524266,30.386426,382,17,GTEX-X4XX,Lung
7.217416,5.866376,116,10,GTEX-S4Q7,Cells_EBV-transformed_lymphocytes
13.546621,6.050896,245,18,GTEX-X3Y1,Colon_Transverse
5.421523,1.860853,110,21,GTEX-ZF28,Brain_Putamen_basal_ganglia
11.013255,9.658964,224,23,GTEX-17MF6,Testis
8.533712,7.348000,100,16,GTEX-11ZTT,Uterus
15.899082,23.288070,490,12,GTEX-13QJ3,Muscle_Skeletal
26.615667,23.460286,245,21,GTEX-1A3MV,Colon_Transverse
40.281093,16.128322,413,19,GTEX-1AX9J,Skin_Sun_Exposed_Lower_leg
49.861546,21.701698,334,22,GTEX-11DXZ,Skin_Not_Sun_Exposed_Suprapubic
5.218492,5.279715,145,19,GTEX-R55G,Spleen
19.883000,17.673727,413,22,GTEX-12WSL,Skin_Sun_Exposed_Lower_leg
7.613822,4.707380,266,23,GTEX-13PVR,Artery_Aorta
5.045679,5.491398,156,30,GTEX-12ZZX,Pituitary
8.608296,4.832774,202,17,GTEX-WXYG,Colon_Sigmoid
15.299881,14.146954,490,22,GTEX-14PJ4,Muscle_Skeletal
30.763241,26.894890,382,7,GTEX-POYW,Lung
7.094507,2.882684,145,19,GTEX-13PL7,Spleen
35.307134,14.207424,360,21,GTEX-131XH,Nerve_Tibial
15.304047,20.981866,271,25,GTEX-14E7W,Heart_Left_Ventricle
6.330810,1.222431,82,18,GTEX-13SLW,Brain_Spinal_cord_cervical_c-1
14.811844,8.577025,219,10,GTEX-148VI,Pancreas
8.299098,7.756927,360,16,GTEX-SNOS,Nerve_Tibial
29.535335,32.360566,334,12,GTEX-SE5C,Esophagus_Muscularis
13.091475,7.909956,121,19,GTEX-16NGA,Small_Intestine_Terminal_Ileum
23.896455,11.616724,387,14,GTEX-RUSQ,Artery_Tibial
14.230430,11.990220,357,14,GTEX-TKQ1,Esophagus_Mucosa
17.788750,12.083189,398,17,GTEX-1C2JI,Thyroid
27.913889,16.840921,360,10,GTEX-14LLW,Nerve_Tibial
16.908005,12.199773,250,19,GTEX-11P82,Breast_Mammary_Tissue
11.804172,16.318674,299,14,GTEX-R55C,Cells_Transformed_fibroblasts
26.111379,21.704040,334,28,GTEX-1313W,Skin_Not_Sun_Exposed_Suprapubic
39.859160,14.833695,360,13,GTEX-1A8G7,Nerve_Tibial
8.429904,5.987826,151,23,GTEX-131XF,Artery_Coronary
2.255207,2.542213,152,17,GTEX-ZVP2,Liver
30.340797,27.602602,368,21,GTEX-WH7G,Whole_Blood
12.445770,10.705167,382,10,GTEX-147F3,Lung
5.780778,8.363309,271,15,GTEX-13O1R,Heart_Left_Ventricle
30.179292,6.677656,398,8,GTEX-OIZG,Thyroid
22.910122,12.726637,357,23,GTEX-14BMU,Esophagus_Mucosa
17.462324,9.765068,334,13,GTEX-1C475,Esophagus_Muscularis
14.222516,4.050073,108,23,GTEX-16YQH,Brain_Anterior_cingulate_cortex_BA24
38.121450,34.641692,413,14,GTEX-1497J,Skin_Sun_Exposed_Lower_leg
16.626343,14.818625,299,12,GTEX-QMR6,Cells_Transformed_fibroblasts
25.536657,19.256093,334,8,GTEX-15G1A,Esophagus_Muscularis
11.174548,8.188933,360,30,GTEX-13OW8,Nerve_Tibial
6.519988,3.058107,107,24,GTEX-TSE9,Brain_Hypothalamus
7.503259,8.555276,357,21,GTEX-WFG7,Esophagus_Mucosa
