scale,err,#patients,#tissues,patient_id,tissue_name
17.422415,6.129581,245,26,GTEX-13O3O,Colon_Transverse
16.890945,9.943547,490,13,GTEX-XAJ8,Muscle_Skeletal
13.174327,12.161071,357,10,GTEX-148VI,Esophagus_Mucosa
19.998246,12.883786,387,16,GTEX-1A32A,Artery_Tibial
20.594251,2.749683,271,30,GTEX-13OW8,Heart_Left_Ventricle
18.113875,13.713997,266,27,GTEX-Y114,Artery_Aorta
7.738334,3.575150,174,19,GTEX-13PL7,Adrenal_Gland
14.720572,9.577480,387,15,GTEX-17F98,Artery_Tibial
10.318829,9.025972,263,12,GTEX-ZYFD,Heart_Atrial_Appendage
4.107169,4.391427,224,16,GTEX-ZZ64,Testis
8.550406,8.005370,266,29,GTEX-WY7C,Artery_Aorta
14.069881,23.381193,299,20,GTEX-11WQK,Cells_Transformed_fibroblasts
5.403783,4.967204,82,25,GTEX-13NYB,Brain_Spinal_cord_cervical_c-1
7.995247,6.292092,108,24,GTEX-WHSE,Brain_Anterior_cingulate_cortex_BA24
5.953368,6.150192,143,24,GTEX-QDT8,Brain_Caudate_basal_ganglia
38.707715,33.043867,387,21,GTEX-N7MS,Artery_Tibial
22.573600,13.104392,384,22,GTEX-U3ZN,Adipose_Subcutaneous
19.300040,21.473275,413,24,GTEX-Y3I4,Skin_Sun_Exposed_Lower_leg
13.401261,13.875563,360,16,GTEX-12WSF,Nerve_Tibial
5.375033,2.415871,151,21,GTEX-U8XE,Artery_Coronary
1.888560,0.330124,151,36,GTEX-12WSD,Artery_Coronary
16.918912,8.914939,271,21,GTEX-WH7G,Heart_Left_Ventricle
13.290532,6.901282,384,19,GTEX-P4PP,Adipose_Subcutaneous
29.775358,14.107022,245,21,GTEX-13FHP,Colon_Transverse
15.169726,5.371921,121,15,GTEX-16MT8,Ovary
8.798979,1.689312,107,23,GTEX-16YQH,Brain_Hypothalamus
6.142646,8.651223,250,18,GTEX-X15G,Breast_Mammary_Tissue
5.321103,1.899585,87,19,GTEX-1AX9I,Brain_Amygdala
6.205905,12.986877,387,13,GTEX-RWSA,Artery_Tibial
13.002310,5.108572,236,13,GTEX-P4PQ,Stomach
21.111168,7.590844,334,16,GTEX-12WSA,Skin_Not_Sun_Exposed_Suprapubic
26.800425,4.730530,266,18,GTEX-ZQUD,Artery_Aorta
18.472180,18.656195,299,10,GTEX-WI4N,Cells_Transformed_fibroblasts
2.673369,2.818730,152,17,GTEX-P78B,Liver
24.487589,9.509315,387,13,GTEX-13S86,Artery_Tibial
0.977947,3.404090,129,17,GTEX-11NV4,Brain_Nucleus_accumbens_basal_ganglia
4.986991,1.853782,219,15,GTEX-QMRM,Pancreas
2.956378,4.140643,108,29,GTEX-14DAQ,Brain_Anterior_cingulate_cortex_BA24
19.694363,18.533280,152,26,GTEX-13O3O,Liver
13.380264,16.857577,266,17,GTEX-133LE,Artery_Aorta
4.788386,5.906405,116,27,GTEX-Y114,Cells_EBV-transformed_lymphocytes
18.667650,18.854252,382,18,GTEX-145MO,Lung
6.317487,8.248390,263,18,GTEX-ZDTT,Heart_Atrial_Appendage
7.844332,6.015180,100,26,GTEX-RU72,Uterus
23.883164,16.428050,382,15,GTEX-17F98,Lung
27.394060,16.770681,490,22,GTEX-17HHE,Muscle_Skeletal
15.676155,8.741264,312,14,GTEX-1128S,Adipose_Visceral_Omentum
8.842273,4.505040,219,12,GTEX-TKQ2,Pancreas
11.745578,7.739547,398,23,GTEX-16YQH,Thyroid
21.432536,24.161320,387,25,GTEX-Q2AG,Artery_Tibial
15.810354,11.263453,151,13,GTEX-QESD,Artery_Coronary
14.390070,5.021681,312,22,GTEX-11LCK,Adipose_Visceral_Omentum
9.520671,5.488103,152,17,GTEX-ZYY3,Liver
12.895186,16.137968,384,25,GTEX-11EQ9,Adipose_Subcutaneous
22.491921,25.745913,299,15,GTEX-ZV6S,Cells_Transformed_fibroblasts
17.960569,29.448364,250,30,GTEX-13OW8,Breast_Mammary_Tissue
10.704234,12.134781,152,19,GTEX-11ZVC,Liver
4.631415,2.772850,219,15,GTEX-13X6H,Pancreas
9.410387,11.048749,236,13,GTEX-OXRK,Stomach
14.494672,8.383221,143,18,GTEX-UTHO,Brain_Caudate_basal_ganglia
11.706852,12.784763,334,15,GTEX-T5JW,Esophagus_Muscularis
18.489573,7.292947,145,25,GTEX-15DYW,Spleen
1.765488,0.545158,100,3,GTEX-16A39,Uterus
2.819366,1.246833,145,17,GTEX-XMK1,Spleen
15.495637,12.436619,334,21,GTEX-13O21,Esophagus_Muscularis
5.254120,3.557002,129,25,GTEX-14C39,Brain_Nucleus_accumbens_basal_ganglia
3.036666,2.060544,143,26,GTEX-13RTJ,Brain_Caudate_basal_ganglia
3.145786,3.668635,121,19,GTEX-P4PP,Ovary
6.836660,8.920441,236,17,GTEX-T6MO,Stomach
9.288875,12.427872,299,17,GTEX-QV44,Cells_Transformed_fibroblasts
12.697793,11.171164,334,30,GTEX-11GSP,Esophagus_Muscularis
6.650819,7.590036,219,21,GTEX-YEC3,Pancreas
3.617256,3.413270,105,15,GTEX-ZQG8,Vagina
10.220050,9.127863,360,18,GTEX-111CU,Nerve_Tibial
4.638232,3.272958,100,17,GTEX-1B932,Uterus
5.136848,1.816994,84,21,GTEX-13O21,Minor_Salivary_Gland
6.688692,8.968300,152,20,GTEX-Y5V5,Liver
18.305217,17.146913,384,18,GTEX-13SLW,Adipose_Subcutaneous
14.778814,10.577443,245,18,GTEX-QLQ7,Colon_Transverse
30.907618,32.202381,271,8,GTEX-OIZG,Heart_Left_Ventricle
10.468819,6.668526,271,22,GTEX-11DXZ,Heart_Left_Ventricle
6.372888,5.032662,398,16,GTEX-11ZTT,Thyroid
15.751754,5.699154,107,23,GTEX-13SLX,Brain_Hypothalamus
4.916676,2.889947,153,18,GTEX-147F4,Brain_Cerebellum
19.474118,15.015278,299,15,GTEX-ZXES,Cells_Transformed_fibroblasts
19.461737,7.727412,236,15,GTEX-145MN,Stomach
12.210848,13.124522,299,9,GTEX-SIU8,Cells_Transformed_fibroblasts
11.622198,6.533013,124,30,GTEX-13OVJ,Brain_Cerebellar_Hemisphere
2.424099,1.504498,212,15,GTEX-ZTSS,Esophagus_Gastroesophageal_Junction
23.182904,9.821194,368,19,GTEX-14AS3,Whole_Blood
3.134744,3.381896,121,24,GTEX-ZVT2,Ovary
8.686882,6.897687,266,21,GTEX-1AMFI,Artery_Aorta
1.870822,2.139687,108,21,GTEX-13JVG,Brain_Anterior_cingulate_cortex_BA24
27.866811,16.964094,490,13,GTEX-12126,Muscle_Skeletal
19.439169,18.398055,384,13,GTEX-1A8G7,Adipose_Subcutaneous
35.000681,13.969837,368,20,GTEX-RWS6,Whole_Blood
9.298800,6.276788,145,11,GTEX-PW2O,Spleen
2.280298,6.971066,100,19,GTEX-14AS3,Uterus
5.582977,3.132986,100,12,GTEX-139D8,Uterus
12.989623,10.282305,360,25,GTEX-14C39,Nerve_Tibial
10.128178,18.317349,360,13,GTEX-P4PQ,Nerve_Tibial
7.832504,3.494303,121,20,GTEX-1BAJH,Small_Intestine_Terminal_Ileum
13.732164,10.047430,245,10,GTEX-111VG,Colon_Transverse
5.016805,2.366411,129,26,GTEX-13O3O,Brain_Nucleus_accumbens_basal_ganglia
5.322476,6.172563,107,21,GTEX-13OW7,Brain_Hypothalamus
13.047859,10.080997,151,18,GTEX-13FXS,Artery_Coronary
14.220117,15.763393,263,19,GTEX-1B996,Heart_Atrial_Appendage
19.421690,21.375735,360,21,GTEX-WL46,Nerve_Tibial
8.811115,3.802336,121,23,GTEX-Y9LG,Small_Intestine_Terminal_Ileum
16.174518,14.881006,398,14,GTEX-13QJC,Thyroid
9.702387,9.231785,245,10,GTEX-15CHR,Colon_Transverse
21.707632,12.394677,387,14,GTEX-ZY6K,Artery_Tibial
33.167057,4.353305,334,18,GTEX-ZQUD,Esophagus_Muscularis
13.950854,6.891024,334,20,GTEX-RWS6,Esophagus_Muscularis
13.742868,17.054769,382,25,GTEX-13OVL,Lung
9.949948,8.829575,384,29,GTEX-WY7C,Adipose_Subcutaneous
6.056129,6.543842,236,14,GTEX-14PHX,Stomach
9.040595,4.515756,202,36,GTEX-12WSD,Colon_Sigmoid
9.950349,4.949554,143,30,GTEX-13OW8,Brain_Caudate_basal_ganglia
12.452186,4.603505,250,28,GTEX-1313W,Breast_Mammary_Tissue
12.812037,6.306155,398,18,GTEX-147F4,Thyroid
17.243280,15.337483,312,23,GTEX-1122O,Adipose_Visceral_Omentum
15.962554,8.007031,271,19,GTEX-15SHU,Heart_Left_Ventricle
20.576439,10.663129,312,11,GTEX-15DZA,Adipose_Visceral_Omentum
18.797322,25.522429,382,24,GTEX-13G51,Lung
21.906830,26.752702,490,10,GTEX-OXRN,Muscle_Skeletal
6.280460,4.826821,152,16,GTEX-O5YT,Liver
22.787878,9.605492,263,32,GTEX-YFC4,Heart_Atrial_Appendage
5.771547,3.904497,124,12,GTEX-XMD1,Brain_Cerebellar_Hemisphere
24.067885,15.409449,398,23,GTEX-13N2G,Thyroid
14.136910,8.000001,384,13,GTEX-Z9EW,Adipose_Subcutaneous
17.355767,11.853119,357,14,GTEX-YECK,Esophagus_Mucosa
14.866057,5.018197,129,37,GTEX-15ER7,Brain_Nucleus_accumbens_basal_ganglia
6.621849,8.593502,357,10,GTEX-S4Q7,Esophagus_Mucosa
30.214625,9.711626,368,27,GTEX-WZTO,Whole_Blood
5.847154,5.237893,250,23,GTEX-11I78,Breast_Mammary_Tissue
25.238105,19.653426,398,22,GTEX-XYKS,Thyroid
16.530173,23.897476,360,21,GTEX-18A7A,Nerve_Tibial
6.344866,4.180117,116,21,GTEX-WH7G,Cells_EBV-transformed_lymphocytes
7.215104,7.064781,357,13,GTEX-WFJO,Esophagus_Mucosa
25.996676,18.859678,382,21,GTEX-WFG8,Lung
1.897191,3.628274,107,22,GTEX-15G19,Brain_Hypothalamus
8.069109,5.155954,212,18,GTEX-111CU,Esophagus_Gastroesophageal_Junction
3.090649,2.037976,224,22,GTEX-14E6E,Testis
22.553130,183.931943,368,4,GTEX-13CIG,Whole_Blood
21.331688,24.234717,490,10,GTEX-13PL6,Muscle_Skeletal
3.686948,5.261528,108,12,GTEX-XMD1,Brain_Anterior_cingulate_cortex_BA24
6.611007,5.552668,263,13,GTEX-WQUQ,Heart_Atrial_Appendage
11.228962,7.999052,357,17,GTEX-U3ZH,Esophagus_Mucosa
14.022753,18.735291,490,19,GTEX-11ZVC,Muscle_Skeletal
14.192216,14.027316,368,13,GTEX-14C38,Whole_Blood
33.004148,23.181173,360,24,GTEX-17HII,Nerve_Tibial
4.058698,6.017786,245,13,GTEX-PWN1,Colon_Transverse
9.522968,10.472075,357,21,GTEX-X5EB,Esophagus_Mucosa
3.837253,3.621841,156,15,GTEX-1192X,Pituitary
6.452480,5.720371,79,18,GTEX-YJ89,Brain_Substantia_nigra
13.484261,19.828105,334,18,GTEX-14E6C,Skin_Not_Sun_Exposed_Suprapubic
31.061317,21.045525,382,19,GTEX-13JUV,Lung
15.007542,10.241708,250,11,GTEX-13NZ9,Breast_Mammary_Tissue
23.063280,24.248616,334,21,GTEX-1AMFI,Esophagus_Muscularis
17.048785,27.673547,413,15,GTEX-ZQG8,Skin_Sun_Exposed_Lower_leg
14.140393,5.872276,266,21,GTEX-ZF29,Artery_Aorta
3.497853,2.630616,129,19,GTEX-13112,Brain_Nucleus_accumbens_basal_ganglia
6.213712,6.256408,117,34,GTEX-ZAB4,Brain_Frontal_Cortex_BA9
24.788956,22.221582,398,16,GTEX-RM2N,Thyroid
26.592889,26.113698,266,17,GTEX-117YW,Artery_Aorta
12.060589,20.036764,387,10,GTEX-1314G,Artery_Tibial
14.505767,13.695607,299,12,GTEX-TKQ2,Cells_Transformed_fibroblasts
20.809063,16.488602,413,28,GTEX-1313W,Skin_Sun_Exposed_Lower_leg
21.003162,8.780078,384,13,GTEX-Q2AI,Adipose_Subcutaneous
27.574636,17.091847,334,9,GTEX-15SHW,Skin_Not_Sun_Exposed_Suprapubic
28.390931,34.575790,490,16,GTEX-WHSB,Muscle_Skeletal
39.564334,33.484823,368,13,GTEX-13FTY,Whole_Blood
15.759861,16.344016,312,8,GTEX-1EH9U,Adipose_Visceral_Omentum
28.292810,24.516650,490,24,GTEX-Y3I4,Muscle_Skeletal
9.621365,9.169509,382,13,GTEX-13FTX,Lung
11.927656,8.893413,219,16,GTEX-SNOS,Pancreas
28.138240,35.164426,368,11,GTEX-16NPX,Whole_Blood
15.044864,7.772272,382,9,GTEX-X4LF,Lung
22.263182,21.726418,312,15,GTEX-ZYW4,Adipose_Visceral_Omentum
7.547102,8.093621,135,14,GTEX-13QIC,Brain_Cortex
12.340123,15.248951,299,11,GTEX-WYBS,Cells_Transformed_fibroblasts
20.846929,22.535229,413,21,GTEX-X5EB,Skin_Sun_Exposed_Lower_leg
