scale,err,#patients,#tissues,patient_id,tissue_name
18.268048,19.507427,387,15,GTEX-ZDTS,Artery_Tibial
19.535961,16.184823,413,20,GTEX-13VXT,Skin_Sun_Exposed_Lower_leg
20.259222,4.204835,202,24,GTEX-16XZZ,Colon_Sigmoid
6.474251,3.672033,152,32,GTEX-13OW6,Liver
7.139292,6.754296,212,23,GTEX-YF7O,Esophagus_Gastroesophageal_Junction
3.314227,2.485628,202,25,GTEX-12BJ1,Colon_Sigmoid
13.692747,10.511576,263,11,GTEX-13NZ9,Heart_Atrial_Appendage
7.623365,5.306972,224,19,GTEX-Y111,Testis
5.771547,3.863954,124,12,GTEX-XMD1,Brain_Cerebellar_Hemisphere
26.596777,21.161413,387,17,GTEX-ZVP2,Artery_Tibial
12.676544,12.117506,219,18,GTEX-X3Y1,Pancreas
19.159571,11.817806,263,29,GTEX-14DAQ,Heart_Atrial_Appendage
58.906335,38.624557,368,17,GTEX-S32W,Whole_Blood
5.917220,2.802154,236,24,GTEX-13D11,Stomach
8.148252,7.391731,124,18,GTEX-13X6I,Brain_Cerebellar_Hemisphere
19.700565,12.774396,387,8,GTEX-QXCU,Artery_Tibial
12.892535,3.178114,250,15,GTEX-17GQL,Breast_Mammary_Tissue
18.362410,12.834002,398,17,GTEX-WXYG,Thyroid
8.735491,10.863446,236,17,GTEX-Q734,Stomach
3.036666,2.194962,143,26,GTEX-13RTJ,Brain_Caudate_basal_ganglia
9.950349,4.215611,143,30,GTEX-13OW8,Brain_Caudate_basal_ganglia
5.168074,4.955348,121,11,GTEX-14PKV,Small_Intestine_Terminal_Ileum
12.917406,9.998544,145,17,GTEX-ZZPU,Spleen
11.797993,7.558009,152,22,GTEX-11DXZ,Liver
12.164497,13.110958,387,14,GTEX-OHPN,Artery_Tibial
6.240260,6.375914,360,4,GTEX-15RIG,Nerve_Tibial
4.218749,3.083305,413,15,GTEX-13NZA,Skin_Sun_Exposed_Lower_leg
18.588980,18.477477,334,10,GTEX-15RJ7,Skin_Not_Sun_Exposed_Suprapubic
12.116256,13.166515,368,21,GTEX-13CF3,Whole_Blood
9.125204,4.379996,145,17,GTEX-WHWD,Spleen
36.177259,19.947209,368,17,GTEX-WHWD,Whole_Blood
10.191798,10.389636,236,17,GTEX-ZLV1,Stomach
17.199291,17.809112,368,11,GTEX-139UW,Whole_Blood
17.964663,18.303757,382,23,GTEX-YF7O,Lung
10.034041,7.683377,224,32,GTEX-13OW6,Testis
18.438009,9.781071,299,19,GTEX-ZE7O,Cells_Transformed_fibroblasts
16.266772,15.225178,382,16,GTEX-139TT,Lung
12.830189,5.785136,124,24,GTEX-13X6J,Brain_Cerebellar_Hemisphere
3.607404,2.983083,152,25,GTEX-Q2AG,Liver
2.231918,5.103743,236,22,GTEX-U3ZN,Stomach
8.504673,6.130613,152,12,GTEX-XBEC,Liver
7.266005,4.613404,153,9,GTEX-1C6VR,Brain_Cerebellum
16.176575,7.460356,382,16,GTEX-16AAH,Lung
19.727587,11.278345,334,27,GTEX-11DXX,Esophagus_Muscularis
9.051324,5.334720,263,20,GTEX-ZYFG,Heart_Atrial_Appendage
15.415651,16.539631,360,8,GTEX-13W46,Nerve_Tibial
18.921021,22.404166,387,21,GTEX-1B8KZ,Artery_Tibial
6.894601,9.021080,131,22,GTEX-XGQ4,Prostate
7.691505,9.541276,334,23,GTEX-13W3W,Esophagus_Muscularis
27.291438,29.500678,266,19,GTEX-15SHU,Artery_Aorta
