scale,err,#patients,#tissues,patient_id,tissue_name
25.997384,12.204357,413,19,GTEX-146FH,Skin_Sun_Exposed_Lower_leg
20.447331,8.939680,202,16,GTEX-17F96,Colon_Sigmoid
24.022151,18.751946,398,17,GTEX-QV44,Thyroid
4.546684,6.969763,145,20,GTEX-XPVG,Spleen
4.038053,4.833080,121,13,GTEX-RU1J,Ovary
23.632988,18.990756,384,9,GTEX-15SDE,Adipose_Subcutaneous
8.429904,6.186056,151,23,GTEX-131XF,Artery_Coronary
9.723013,5.077591,110,9,GTEX-13NZ8,Brain_Hippocampus
11.228962,10.105693,357,17,GTEX-U3ZH,Esophagus_Mucosa
4.029481,2.993940,212,18,GTEX-12WSN,Esophagus_Gastroesophageal_Junction
17.719889,11.770541,357,15,GTEX-ZTSS,Esophagus_Mucosa
4.076915,5.519816,156,22,GTEX-12ZZY,Pituitary
6.893668,5.975623,245,10,GTEX-S4Q7,Colon_Transverse
10.232352,11.851718,236,18,GTEX-PWCY,Stomach
24.407657,17.587522,357,20,GTEX-183WM,Esophagus_Mucosa
8.881796,7.470055,219,15,GTEX-ZYW4,Pancreas
5.749703,11.440724,202,11,GTEX-139UW,Colon_Sigmoid
16.496484,7.989311,250,22,GTEX-XYKS,Breast_Mammary_Tissue
2.614533,2.826438,152,19,GTEX-ZTPG,Liver
4.788386,4.613486,116,27,GTEX-Y114,Cells_EBV-transformed_lymphocytes
21.532495,17.072755,357,18,GTEX-13OVI,Esophagus_Mucosa
5.872195,3.606309,84,22,GTEX-12WSM,Minor_Salivary_Gland
7.717359,5.714216,105,15,GTEX-ZXES,Vagina
16.578113,16.724842,384,25,GTEX-14C39,Adipose_Subcutaneous
32.071949,24.619676,490,23,GTEX-11ZUS,Muscle_Skeletal
10.646781,8.471750,398,24,GTEX-WYJK,Thyroid
27.511441,21.241877,382,23,GTEX-XXEK,Lung
10.497535,9.006902,266,14,GTEX-1AMEY,Artery_Aorta
20.618814,20.963201,312,14,GTEX-12584,Adipose_Visceral_Omentum
10.919317,4.587657,121,21,GTEX-1AMFI,Ovary
17.769678,18.432593,490,22,GTEX-11TUW,Muscle_Skeletal
10.994132,3.564569,107,18,GTEX-13FXS,Brain_Hypothalamus
18.289846,10.312506,266,23,GTEX-11EM3,Artery_Aorta
10.304624,7.967006,153,23,GTEX-ZVT3,Brain_Cerebellum
16.211946,18.749934,384,11,GTEX-14H4A,Adipose_Subcutaneous
9.643545,8.384126,382,9,GTEX-SIU8,Lung
7.082758,8.078518,143,10,GTEX-14PQA,Brain_Caudate_basal_ganglia
18.472180,18.458961,299,10,GTEX-WI4N,Cells_Transformed_fibroblasts
17.519093,13.841664,266,17,GTEX-1C2JI,Artery_Aorta
20.083822,19.766420,387,19,GTEX-ZVZP,Artery_Tibial
14.864414,6.144258,312,24,GTEX-13O3Q,Adipose_Visceral_Omentum
59.132132,20.597841,490,12,GTEX-OOBK,Muscle_Skeletal
9.868822,14.410729,384,32,GTEX-YFC4,Adipose_Subcutaneous
14.839138,18.117535,387,18,GTEX-14E6C,Artery_Tibial
10.925700,2.255290,153,12,GTEX-11PRG,Brain_Cerebellum
25.100795,10.152817,271,9,GTEX-15SHW,Heart_Left_Ventricle
11.044135,9.440520,219,19,GTEX-1AX9K,Pancreas
14.460950,12.585402,360,12,GTEX-XBEC,Nerve_Tibial
23.865086,44.068672,368,14,GTEX-OHPN,Whole_Blood
31.393989,20.393534,245,15,GTEX-147JS,Colon_Transverse
22.536975,25.152535,299,22,GTEX-XQ8I,Cells_Transformed_fibroblasts
6.942211,4.060901,219,25,GTEX-XV7Q,Pancreas
11.321767,7.210986,116,18,GTEX-WHPG,Cells_EBV-transformed_lymphocytes
29.656640,12.595465,245,23,GTEX-Y9LG,Colon_Transverse
26.342711,31.291138,384,21,GTEX-13O21,Adipose_Subcutaneous
22.949149,24.285158,219,21,GTEX-U8XE,Pancreas
7.628875,9.745004,360,23,GTEX-16YQH,Nerve_Tibial
20.871820,19.554809,382,22,GTEX-14PJ4,Lung
27.819602,21.103396,387,8,GTEX-16NPV,Artery_Tibial
3.245591,2.349689,263,19,GTEX-V955,Heart_Atrial_Appendage
8.931556,10.418233,368,18,GTEX-QDVN,Whole_Blood
18.208900,14.455935,398,17,GTEX-11EI6,Thyroid
8.504673,6.210847,152,12,GTEX-XBEC,Liver
22.396261,21.493123,490,19,GTEX-16NGA,Muscle_Skeletal
7.790840,3.509156,105,10,GTEX-113JC,Vagina
13.260445,13.729100,413,23,GTEX-YF7O,Skin_Sun_Exposed_Lower_leg
25.286656,14.149943,266,8,GTEX-13W46,Artery_Aorta
10.731557,3.888926,117,17,GTEX-N7MT,Brain_Frontal_Cortex_BA9
22.410457,14.737621,334,22,GTEX-14PJ4,Esophagus_Muscularis
18.629679,10.205747,360,24,GTEX-11P7K,Nerve_Tibial
17.394690,10.318486,382,18,GTEX-XBEW,Lung
9.252488,9.191940,224,8,GTEX-12WSI,Testis
18.018619,13.428502,357,15,GTEX-13OVK,Esophagus_Mucosa
29.436199,25.940738,384,10,GTEX-111VG,Adipose_Subcutaneous
18.534012,5.011341,360,20,GTEX-17HGU,Nerve_Tibial
2.482452,2.410054,151,18,GTEX-ZYT6,Artery_Coronary
4.784683,2.581607,151,19,GTEX-1AX9I,Artery_Coronary
8.911544,6.649040,202,13,GTEX-XAJ8,Colon_Sigmoid
4.125856,3.725126,153,20,GTEX-16Z82,Brain_Cerebellum
11.696828,8.913205,360,25,GTEX-15DYW,Nerve_Tibial
33.164551,25.693354,384,10,GTEX-OXRN,Adipose_Subcutaneous
13.669373,16.166922,312,22,GTEX-XQ8I,Adipose_Visceral_Omentum
22.234156,19.165137,398,30,GTEX-13OVJ,Thyroid
3.434588,2.979576,84,19,GTEX-11P82,Minor_Salivary_Gland
49.620596,49.176432,271,26,GTEX-14BIN,Heart_Left_Ventricle
6.496229,12.758031,245,21,GTEX-1B8KZ,Colon_Transverse
23.440232,18.211190,398,11,GTEX-OIZI,Thyroid
9.155327,4.460016,129,36,GTEX-12WSD,Brain_Nucleus_accumbens_basal_ganglia
5.086791,8.944612,271,13,GTEX-WQUQ,Heart_Left_Ventricle
21.195374,24.760610,357,1,GTEX-1GL5R,Esophagus_Mucosa
10.608455,10.708724,107,21,GTEX-N7MS,Brain_Hypothalamus
5.461298,5.671652,299,21,GTEX-X5EB,Cells_Transformed_fibroblasts
