scale,err,#patients,#tissues,patient_id,tissue_name
37.075568,25.131372,387,28,GTEX-T6MN,Artery_Tibial
5.203005,4.860942,87,22,GTEX-13OW5,Brain_Amygdala
22.482083,19.348080,413,17,GTEX-14PN3,Skin_Sun_Exposed_Lower_leg
27.325126,23.252426,413,14,GTEX-PSDG,Skin_Sun_Exposed_Lower_leg
10.121667,5.124594,82,28,GTEX-14PJM,Brain_Spinal_cord_cervical_c-1
21.784860,30.678759,413,10,GTEX-14ICK,Skin_Sun_Exposed_Lower_leg
7.691910,9.465248,219,18,GTEX-12WSN,Pancreas
6.596617,3.736029,250,17,GTEX-WXYG,Breast_Mammary_Tissue
16.363257,11.081064,156,30,GTEX-14C5O,Pituitary
14.778814,16.143449,245,18,GTEX-QLQ7,Colon_Transverse
8.884589,0.905445,174,11,GTEX-S3XE,Adrenal_Gland
11.081724,11.726060,116,25,GTEX-12BJ1,Cells_EBV-transformed_lymphocytes
11.467025,9.434770,117,23,GTEX-13N2G,Brain_Frontal_Cortex_BA9
8.593506,3.486302,117,24,GTEX-TSE9,Brain_Frontal_Cortex_BA9
21.441182,16.633342,382,18,GTEX-12WSN,Lung
8.293954,7.934009,135,15,GTEX-15RJE,Brain_Cortex
11.868922,4.150858,202,15,GTEX-ZPCL,Colon_Sigmoid
9.114513,6.718234,124,21,GTEX-13NYS,Brain_Cerebellar_Hemisphere
5.162369,2.905618,87,15,GTEX-NPJ7,Brain_Amygdala
28.998208,20.402402,413,10,GTEX-ZVTK,Skin_Sun_Exposed_Lower_leg
10.520510,4.426921,116,7,GTEX-SSA3,Cells_EBV-transformed_lymphocytes
25.008895,19.764851,387,18,GTEX-148VJ,Artery_Tibial
5.505625,2.062139,135,25,GTEX-17EVP,Brain_Cortex
6.557346,5.551454,174,21,GTEX-Y5V6,Adrenal_Gland
2.327972,1.554258,174,23,GTEX-ZP4G,Adrenal_Gland
6.903580,5.395894,131,12,GTEX-ZYFD,Prostate
16.060781,15.941188,368,16,GTEX-O5YT,Whole_Blood
5.657302,6.081793,121,23,GTEX-14BMU,Small_Intestine_Terminal_Ileum
